Je parle sans réfléchir;90;84
Je chante sous la douche;61;49
Je ronfle;83;35
Je préfère le garder pour moi;124;100
Je suis un(e) couche-tard;344;156
Je suis un(e) lève-tôt;381;183
Je ne suis pas du matin;218;183
Je ne sais pas danser;292;42
Je ne sais pas cuisiner;19;36
Je ne sais pas;179;135
(blank);0;0
_Centre;1742;1503
Je rougis quand je suis embarrassé(e);173;217
Je suis accro à mon portable;23;19
Je ne finis pas mes phrases;23;30
Je bois directement à la bouteille;29;27
Je n'ai pas le sens de l'orientation;42;126
Je vole la couette;109;103
Je ris de mes propres blagues;63;34
Je ne rebouche pas le dentifrice;7;10
Je ne suis pas calme au volant;34;58
Je ris souvent trop fort;61;107
Je photographie tout ce que je mange;9;6
Je picore dans l'assiette de mon voisin;8;14
Je parle sans réfléchir;69;71
Je chante sous la douche;35;27
Je ronfle;85;34
Je préfère le garder pour moi;103;75
Je suis un(e) couche-tard;169;102
Je suis un(e) lève-tôt;250;200
Je ne suis pas du matin;133;116
Je ne sais pas danser;197;32
Je ne sais pas cuisiner;9;15
Je ne sais pas;111;80
(blank);0;0
_Champagne-Ardenne;961;805
Je rougis quand je suis embarrassé(e);106;132
Je suis accro à mon portable;9;7
Je ne finis pas mes phrases;12;19
Je bois directement à la bouteille;15;15
Je n'ai pas le sens de l'orientation;24;73
Je vole la couette;44;65
Je ris de mes propres blagues;31;24
Je ne rebouche pas le dentifrice;8;5
Je ne suis pas calme au volant;19;28
Je ris souvent trop fort;51;61
Je photographie tout ce que je mange;3;8
Je picore dans l'assiette de mon voisin;5;10
Je parle sans réfléchir;35;45
Je chante sous la douche;21;14
Je ronfle;26;19
Je préfère le garder pour moi;48;38
Je suis un(e) couche-tard;103;43
Je suis un(e) lève-tôt;165;73
Je ne suis pas du matin;69;60
Je ne sais pas danser;93;14
Je ne sais pas cuisiner;8;7
Je ne sais pas;66;45
(blank);0;0
_Corse;182;202
Je rougis quand je suis embarrassé(e);18;29
Je suis accro à mon portable;2;4
Je ne finis pas mes phrases;6;1
Je bois directement à la bouteille;5;6
Je n'ai pas le sens de l'orientation;5;17
Je vole la couette;10;12
Je ris de mes propres blagues;6;6
Je ne rebouche pas le dentifrice;2;2
Je ne suis pas calme au volant;10;9
Je ris souvent trop fort;6;11
Je photographie tout ce que je mange;1;1
Je picore dans l'assiette de mon voisin;;4
Je parle sans réfléchir;5;9
Je chante sous la douche;3;1
Je ronfle;9;4
Je préfère le garder pour moi;6;20
Je suis un(e) couche-tard;19;11
Je suis un(e) lève-tôt;37;31
Je ne suis pas du matin;8;12
Je ne sais pas danser;13;2
Je ne sais pas cuisiner;3;3
Je ne sais pas;8;7
(blank);0;0
_DOM;388;308
Je rougis quand je suis embarrassé(e);33;35
Je suis accro à mon portable;3;7
Je ne finis pas mes phrases;5;4
Je bois directement à la bouteille;10;3
Je n'ai pas le sens de l'orientation;8;32
Je vole la couette;7;16
Je ris de mes propres blagues;14;6
Je ne rebouche pas le dentifrice;7;4
Je ne suis pas calme au volant;9;9
Je ris souvent trop fort;13;26
Je photographie tout ce que je mange;2;3
Je picore dans l'assiette de mon voisin;4;6
Je parle sans réfléchir;19;13
Je chante sous la douche;7;5
Je ronfle;21;8
Je préfère le garder pour moi;30;24
Je suis un(e) couche-tard;57;27
Je suis un(e) lève-tôt;66;31
Je ne suis pas du matin;19;23
Je ne sais pas danser;37;10
Je ne sais pas cuisiner;;2
Je ne sais pas;17;14
(blank);0;0
_Franche-Comté;776;749
Je rougis quand je suis embarrassé(e);75;116
Je suis accro à mon portable;4;19
Je ne finis pas mes phrases;13;16
Je bois directement à la bouteille;22;13
Je n'ai pas le sens de l'orientation;29;66
Je vole la couette;39;56
Je ris de mes propres blagues;36;20
Je ne rebouche pas le dentifrice;6;4
Je ne suis pas calme au volant;24;35
Je ris souvent trop fort;17;43
Je photographie tout ce que je mange;1;4
Je picore dans l'assiette de mon voisin;6;13
Je parle sans réfléchir;29;46
Je chante sous la douche;21;28
Je ronfle;22;12
Je préfère le garder pour moi;45;28
Je suis un(e) couche-tard;95;47
Je suis un(e) lève-tôt;99;100
Je ne suis pas du matin;48;34
Je ne sais pas danser;102;13
Je ne sais pas cuisiner;6;6
Je ne sais pas;37;30
(blank);0;0
_Haute-Normandie;1140;905
Je rougis quand je suis embarrassé(e);108;131
Je suis accro à mon portable;8;11
Je ne finis pas mes phrases;15;12
Je bois directement à la bouteille;11;13
Je n'ai pas le sens de l'orientation;36;94
Je vole la couette;68;86
Je ris de mes propres blagues;44;25
Je ne rebouche pas le dentifrice;7;9
Je ne suis pas calme au volant;30;29
Je ris souvent trop fort;34;46
Je photographie tout ce que je mange;4;2
Je picore dans l'assiette de mon voisin;5;9
Je parle sans réfléchir;56;48
Je chante sous la douche;28;19
Je ronfle;39;15
Je préfère le garder pour moi;65;54
Je suis un(e) couche-tard;155;76
Je suis un(e) lève-tôt;141;67
Je ne suis pas du matin;87;72
Je ne sais pas danser;116;19
Je ne sais pas cuisiner;9;9
Je ne sais pas;74;59
(blank);0;0
_Ile-de-France;8483;7236
Je rougis quand je suis embarrassé(e);802;988
Je suis accro à mon portable;83;101
Je ne finis pas mes phrases;149;123
Je bois directement à la bouteille;196;158
Je n'ai pas le sens de l'orientation;282;809
Je vole la couette;419;494
Je ris de mes propres blagues;360;290
Je ne rebouche pas le dentifrice;97;65
Je ne suis pas calme au volant;205;259
Je ris souvent trop fort;343;416
Je photographie tout ce que je mange;40;38
Je picore dans l'assiette de mon voisin;108;109
Je parle sans réfléchir;360;305
Je chante sous la douche;252;184
Je ronfle;268;116
Je préfère le garder pour moi;333;279
Je suis un(e) couche-tard;1142;586
Je suis un(e) lève-tôt;930;548
Je ne suis pas du matin;769;703
Je ne sais pas danser;696;139
Je ne sais pas cuisiner;111;103
Je ne sais pas;538;423
(blank);0;0
_Languedoc-Roussillon;1938;1711
Je rougis quand je suis embarrassé(e);154;226
Je suis accro à mon portable;26;24
Je ne finis pas mes phrases;31;22
Je bois directement à la bouteille;38;33
Je n'ai pas le sens de l'orientation;49;219
Je vole la couette;96;106
Je ris de mes propres blagues;82;47
Je ne rebouche pas le dentifrice;22;19
Je ne suis pas calme au volant;36;68
Je ris souvent trop fort;61;107
Je photographie tout ce que je mange;6;6
Je picore dans l'assiette de mon voisin;18;18
Je parle sans réfléchir;86;61
Je chante sous la douche;57;40
Je ronfle;69;39
Je préfère le garder pour moi;93;90
Je suis un(e) couche-tard;236;118
Je suis un(e) lève-tôt;286;182
Je ne suis pas du matin;146;136
Je ne sais pas danser;176;36
Je ne sais pas cuisiner;22;20
Je ne sais pas;148;94
(blank);0;0
_Limousin;486;445
Je rougis quand je suis embarrassé(e);48;64
Je suis accro à mon portable;8;8
Je ne finis pas mes phrases;5;13
Je bois directement à la bouteille;9;5
Je n'ai pas le sens de l'orientation;17;55
Je vole la couette;17;23
Je ris de mes propres blagues;17;9
Je ne rebouche pas le dentifrice;6;2
Je ne suis pas calme au volant;15;17
Je ris souvent trop fort;31;60
Je photographie tout ce que je mange;1;1
Je picore dans l'assiette de mon voisin;2;2
Je parle sans réfléchir;25;16
Je chante sous la douche;13;5
Je ronfle;18;9
Je préfère le garder pour moi;22;27
Je suis un(e) couche-tard;51;29
Je suis un(e) lève-tôt;77;40
Je ne suis pas du matin;33;23
Je ne sais pas danser;47;8
Je ne sais pas cuisiner;3;3
Je ne sais pas;21;26
(blank);0;0
_Lorraine;1613;1189
Je rougis quand je suis embarrassé(e);192;161
Je suis accro à mon portable;10;22
Je ne finis pas mes phrases;11;22
Je bois directement à la bouteille;36;15
Je n'ai pas le sens de l'orientation;39;126
Je vole la couette;71;95
Je ris de mes propres blagues;61;35
Je ne rebouche pas le dentifrice;27;6
Je ne suis pas calme au volant;36;43
Je ris souvent trop fort;69;69
Je photographie tout ce que je mange;4;3
Je picore dans l'assiette de mon voisin;9;14
Je parle sans réfléchir;75;51
Je chante sous la douche;33;24
Je ronfle;74;37
Je préfère le garder pour moi;78;67
Je suis un(e) couche-tard;190;89
Je suis un(e) lève-tôt;227;120
Je ne suis pas du matin;119;92
Je ne sais pas danser;153;20
Je ne sais pas cuisiner;11;10
Je ne sais pas;88;68
(blank);0;0
_Midi-Pyrénées;2250;1885
Je rougis quand je suis embarrassé(e);217;271
Je suis accro à mon portable;22;25
Je ne finis pas mes phrases;60;46
Je bois directement à la bouteille;54;31
Je n'ai pas le sens de l'orientation;67;199
Je vole la couette;104;141
Je ris de mes propres blagues;86;50
Je ne rebouche pas le dentifrice;23;20
Je ne suis pas calme au volant;45;78
Je ris souvent trop fort;81;128
Je photographie tout ce que je mange;5;10
Je picore dans l'assiette de mon voisin;25;24
Je parle sans réfléchir;81;76
Je chante sous la douche;53;32
Je ronfle;66;43
Je préfère le garder pour moi;113;77
Je suis un(e) couche-tard;260;119
Je suis un(e) lève-tôt;322;199
Je ne suis pas du matin;136;151
Je ne sais pas danser;262;31
Je ne sais pas cuisiner;23;29
Je ne sais pas;145;105
(blank);0;0
_Nord-Pas-de-Calais;2570;2105
Je rougis quand je suis embarrassé(e);256;306
Je suis accro à mon portable;21;33
Je ne finis pas mes phrases;45;41
Je bois directement à la bouteille;47;43
Je n'ai pas le sens de l'orientation;88;223
Je vole la couette;140;180
Je ris de mes propres blagues;88;73
Je ne rebouche pas le dentifrice;26;11
Je ne suis pas calme au volant;63;84
Je ris souvent trop fort;123;100
Je photographie tout ce que je mange;15;5
Je picore dans l'assiette de mon voisin;17;24
Je parle sans réfléchir;111;95
Je chante sous la douche;71;57
Je ronfle;90;36
Je préfère le garder pour moi;118;88
Je suis un(e) couche-tard;313;163
Je suis un(e) lève-tôt;360;206
Je ne suis pas du matin;171;173
Je ne sais pas danser;237;31
Je ne sais pas cuisiner;26;19
Je ne sais pas;144;114
(blank);0;0
_Pays-de-la-Loire;2513;2000
Je rougis quand je suis embarrassé(e);241;299
Je suis accro à mon portable;14;18
Je ne finis pas mes phrases;31;19
Je bois directement à la bouteille;35;32
Je n'ai pas le sens de l'orientation;76;216
Je vole la couette;143;163
Je ris de mes propres blagues;109;76
Je ne rebouche pas le dentifrice;24;12
Je ne suis pas calme au volant;57;63
Je ris souvent trop fort;132;134
Je photographie tout ce que je mange;5;7
Je picore dans l'assiette de mon voisin;18;16
Je parle sans réfléchir;88;81
Je chante sous la douche;69;46
Je ronfle;77;38
Je préfère le garder pour moi;107;91
Je suis un(e) couche-tard;251;159
Je suis un(e) lève-tôt;357;167
Je ne suis pas du matin;217;204
Je ne sais pas danser;268;33
Je ne sais pas cuisiner;21;30
Je ne sais pas;173;96
(blank);0;0
_Picardie;1179;974
Je rougis quand je suis embarrassé(e);110;141
Je suis accro à mon portable;11;12
Je ne finis pas mes phrases;18;12
Je bois directement à la bouteille;20;22
Je n'ai pas le sens de l'orientation;29;103
Je vole la couette;44;82
Je ris de mes propres blagues;39;28
Je ne rebouche pas le dentifrice;7;6
Je ne suis pas calme au volant;42;41
Je ris souvent trop fort;48;58
Je photographie tout ce que je mange;4;2
Je picore dans l'assiette de mon voisin;6;10
Je parle sans réfléchir;50;50
Je chante sous la douche;30;24
Je ronfle;54;24
Je préfère le garder pour moi;73;54
Je suis un(e) couche-tard;155;71
Je suis un(e) lève-tôt;146;73
Je ne suis pas du matin;82;70
Je ne sais pas danser;123;23
Je ne sais pas cuisiner;11;13
Je ne sais pas;77;55
(blank);0;0
_Poitou-Charentes;1300;1147
Je rougis quand je suis embarrassé(e);123;162
Je suis accro à mon portable;16;15
Je ne finis pas mes phrases;27;19
Je bois directement à la bouteille;17;22
Je n'ai pas le sens de l'orientation;31;120
Je vole la couette;59;79
Je ris de mes propres blagues;58;25
Je ne rebouche pas le dentifrice;11;10
Je ne suis pas calme au volant;52;39
Je ris souvent trop fort;50;73
Je photographie tout ce que je mange;4;2
Je picore dans l'assiette de mon voisin;7;18
Je parle sans réfléchir;43;47
Je chante sous la douche;49;23
Je ronfle;57;34
Je préfère le garder pour moi;73;53
Je suis un(e) couche-tard;160;97
Je suis un(e) lève-tôt;171;111
Je ne suis pas du matin;80;90
Je ne sais pas danser;133;18
Je ne sais pas cuisiner;10;14
Je ne sais pas;69;76
(blank);0;0
_Provence-Alpes-Côte-d'Azur;3709;3181
Je rougis quand je suis embarrassé(e);303;355
Je suis accro à mon portable;35;33
Je ne finis pas mes phrases;40;30
Je bois directement à la bouteille;85;57
Je n'ai pas le sens de l'orientation;136;450
Je vole la couette;182;280
Je ris de mes propres blagues;165;108
Je ne rebouche pas le dentifrice;32;30
Je ne suis pas calme au volant;108;101
Je ris souvent trop fort;160;172
Je photographie tout ce que je mange;7;12
Je picore dans l'assiette de mon voisin;43;46
Je parle sans réfléchir;178;130
Je chante sous la douche;118;81
Je ronfle;104;41
Je préfère le garder pour moi;172;134
Je suis un(e) couche-tard;414;225
Je suis un(e) lève-tôt;543;320
Je ne suis pas du matin;245;239
Je ne sais pas danser;346;80
Je ne sais pas cuisiner;36;46
Je ne sais pas;257;211
(blank);0;0
_Rhône-Alpes;4416;3415
Je rougis quand je suis embarrassé(e);429;465
Je suis accro à mon portable;37;43
Je ne finis pas mes phrases;63;52
Je bois directement à la bouteille;89;71
Je n'ai pas le sens de l'orientation;137;440
Je vole la couette;222;259
Je ris de mes propres blagues;187;96
Je ne rebouche pas le dentifrice;31;39
Je ne suis pas calme au volant;140;121
Je ris souvent trop fort;178;191
Je photographie tout ce que je mange;7;12
Je picore dans l'assiette de mon voisin;42;59
Je parle sans réfléchir;204;131
Je chante sous la douche;125;91
Je ronfle;144;64
Je préfère le garder pour moi;195;156
Je suis un(e) couche-tard;508;242
Je suis un(e) lève-tôt;587;308
Je ne suis pas du matin;311;263
Je ne sais pas danser;451;69
Je ne sais pas cuisiner;52;45
Je ne sais pas;277;198
(blank);0;0
